Episode 1, red win:1, green win 0, red all leave 0, green all leave 1, steps: 31
Episode 2, red win:2, green win 0, red all leave 0, green all leave 1, steps: 30
Episode 3, red win:2, green win 0, red all leave 0, green all leave 2, steps: 48
Episode 4, red win:3, green win 0, red all leave 0, green all leave 2, steps: 9
Episode 5, red win:3, green win 0, red all leave 1, green all leave 2, steps: 83
Episode 6, red win:3, green win 0, red all leave 2, green all leave 2, steps: 33
Episode 7, red win:4, green win 0, red all leave 2, green all leave 2, steps: 57
Episode 8, red win:4, green win 0, red all leave 2, green all leave 3, steps: 31
Episode 9, red win:5, green win 0, red all leave 2, green all leave 3, steps: 43
Episode 10, red win:6, green win 0, red all leave 2, green all leave 3, steps: 41
Episode 11, red win:7, green win 0, red all leave 2, green all leave 3, steps: 46
Episode 12, red win:8, green win 0, red all leave 2, green all leave 3, steps: 35
Episode 13, red win:9, green win 0, red all leave 2, green all leave 3, steps: 33
Episode 14, red win:9, green win 0, red all leave 2, green all leave 4, steps: 46
Episode 15, red win:9, green win 0, red all leave 2, green all leave 5, steps: 24
Episode 16, red win:10, green win 0, red all leave 2, green all leave 5, steps: 56
Episode 17, red win:10, green win 0, red all leave 2, green all leave 6, steps: 22
Episode 18, red win:10, green win 0, red all leave 3, green all leave 6, steps: 77
Episode 19, red win:10, green win 0, red all leave 3, green all leave 7, steps: 71
Episode 20, red win:11, green win 0, red all leave 3, green all leave 7, steps: 19
Episode 21, red win:11, green win 0, red all leave 4, green all leave 7, steps: 45
Episode 22, red win:11, green win 0, red all leave 4, green all leave 8, steps: 19
Episode 23, red win:11, green win 0, red all leave 4, green all leave 9, steps: 22
Episode 24, red win:11, green win 0, red all leave 4, green all leave 10, steps: 227
Episode 25, red win:11, green win 0, red all leave 4, green all leave 11, steps: 29
Episode 26, red win:11, green win 1, red all leave 4, green all leave 11, steps: 75
Episode 27, red win:12, green win 1, red all leave 4, green all leave 11, steps: 30
Episode 28, red win:13, green win 1, red all leave 4, green all leave 11, steps: 27
Episode 29, red win:14, green win 1, red all leave 4, green all leave 11, steps: 63
Episode 30, red win:15, green win 1, red all leave 4, green all leave 11, steps: 23
Episode 31, red win:15, green win 1, red all leave 4, green all leave 12, steps: 19
Episode 32, red win:15, green win 1, red all leave 5, green all leave 12, steps: 66
Episode 33, red win:15, green win 1, red all leave 5, green all leave 12, steps: 300
Episode 34, red win:15, green win 1, red all leave 5, green all leave 13, steps: 65
Episode 35, red win:15, green win 1, red all leave 6, green all leave 13, steps: 80
Episode 36, red win:16, green win 1, red all leave 6, green all leave 13, steps: 36
